,roberta_neg,roberta_neu,roberta_pos
f87dea47db,-1.3269522,2.000845,-0.65199846
96d74cb729,-2.8256814,-0.40930206,3.9054394
eee518ae67,2.3970733,0.02141805,-2.4544888
01082688c6,-2.3904135,-0.65949833,3.6215472
33987a8ee5,-2.7823327,-0.37057728,3.8917797
726e501993,-2.3564405,-0.78269136,4.095983
261932614e,2.6405268,-0.4465415,-2.1689837
afa11da83f,1.9895284,0.08215442,-2.0533798
e64208b4ef,0.022128444,1.3189273,-1.2930771
37bcad24ca,-2.7147813,0.67337704,2.2701182
24c92644a4,2.5911822,-0.30170435,-2.252996
43b390b336,0.6937301,0.7748741,-1.2914673
69d6b5d93e,1.4143758,0.37681526,-1.8160969
5c1e0b61a1,1.5643022,-0.06835915,-1.4230534
504e45d9d9,1.9559045,0.06997681,-2.0225697
ae93ad52a0,3.1122828,-0.67052186,-2.3093107
9fce30159a,-0.46318695,0.8778367,-0.23462418
00d5195223,1.1419885,0.7228156,-1.7787718
33f19050cf,-1.242085,0.40028584,1.1453595
f7718b3c23,1.3688374,0.13942182,-1.553998
9ef44428d0,2.6378374,-0.27720863,-2.344049
be634ebeb0,0.71183676,0.51970804,-1.3624846
3dcf4f7e13,1.3801692,0.30731875,-1.6326637
f0ef04109b,-0.3053945,1.0277808,-0.6153823
8be365118e,1.9063119,-0.19644877,-1.6184579
c50bdd4567,-2.536195,-0.5145452,3.8656847
334954f215,0.55946755,0.3236565,-0.899245
b783916431,0.20434353,1.2953387,-1.5448152
1fa8e6ad66,-2.0122685,0.98129416,1.2505022
be38b29042,0.5267927,0.47010303,-0.90617913
95701e8ed9,0.12020114,1.6546408,-1.6531848
4dd58ecd2c,-0.21231192,1.0997131,-0.905511
cf553cccd5,0.3507161,0.5572688,-0.94125736
55c69c2d52,-0.66173255,1.9833288,-1.4837612
9b1a52cc02,-0.55876774,1.5679691,-0.6197959
cce5c4744a,-2.1290956,0.17018153,2.3849115
c7f9d559e2,-2.7596338,-0.3433658,3.7113066
3d2478db59,1.1663532,0.18724392,-1.2725979
6d846d7d50,-0.25178397,0.73683476,-0.205618
599f51af6b,1.7050207,0.22895567,-1.8552438
87daa62920,0.83640844,0.7709205,-1.6629459
6506dc55ff,1.3150969,0.28704405,-1.4998771
746d87f93e,1.1831617,0.34647584,-1.6206706
ef7ef8e474,-0.8106418,1.1445351,-0.19115439
d3d7b13278,-1.4914471,0.23927982,1.3174547
ddc07db84e,-2.3171592,0.3617267,2.4641304
